id,Sites,Bioregion,Lat,Long,h,Genus,Species,spp,Exploited,IUCN_status,Reproduction,Max_body_size_cm,Vertical_distribution,Adult_mobility,Habitat,Diet
219,Port_Nolloth,CoolTemperate,-29.25,16.87,0.19474,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
220,Gansbaai,SouthWest,-34.58,19.34,0.95425,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
221,Cape_Town,CoolTemperate,-33.91,18.43,0.643,Mustelus,mustelus,Mmu,Yes,VU,direct developer,120,Benthic,High,Sandy,Carnivorous
225,Haga_Haga,SubTropical,-32.77,28.23,0.89855,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
226,Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.93074,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
234,Mouille_Point,CoolTemperate,-33.9,18.4,0.61,Parvulastra,exigua,Pex,No,NE,direct developer,2,Benthic,Low,Rocky,Grazer
236,Mouille_Point,CoolTemperate,-33.9,18.4,0.9667,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
251,Kommetjie,CoolTemperate,-34.14,18.32,0.95,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
255,Kommetjie,CoolTemperate,-34.14,18.32,0.08,Parvulastra,exigua,Pex,No,NE,direct developer,2,Benthic,Low,Rocky,Grazer
271,False_Bay,SouthWest,-34.24,18.66,1,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
281,Wooleys_Pool,SouthWest,-34.13,18.45,0.948,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
283,Wooleys_Pool,SouthWest,-34.13,18.45,0.9744,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
310,Herolds_Bay,WarmTemperate,-34.06,22.4,0.96324,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
311,Rooiels,SouthWest,-34.3,18.81,0.9,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
312,Rooiels,SouthWest,-34.3,18.81,0.965,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
314,Rooiels,SouthWest,-34.3,18.81,0.981,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
331,Bettys_Bay,SouthWest,-34.36,18.92,0.86,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
332,Bettys_Bay,SouthWest,-34.36,18.92,0.94,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
334,Bettys_Bay,SouthWest,-34.36,18.92,0.9654,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
371,Gansbaai,SouthWest,-34.58,19.34,0.96,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
372,Gansbaai,SouthWest,-34.58,19.34,0.89,Talorchestia,capensis,Tca,No,NE,planktonic,2,Benthic,Low,Sandy,Filter Feeder
373,Gansbaai,SouthWest,-34.58,19.34,0.87,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
374,Gansbaai,SouthWest,-34.58,19.34,0.967,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
376,Gansbaai,SouthWest,-34.58,19.34,0.9789,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
377,Gansbaai,SouthWest,-34.58,19.34,0.91667,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
401,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.409,Mustelus,mustelus,Mmu,Yes,VU,direct developer,120,Benthic,High,Sandy,Carnivorous
404,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.92,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
405,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.963,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
407,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.9,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
408,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.84762,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
410,Knysna,WarmTemperate,-34.09,23.09,0.95238,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
471,Still_Bay,WarmTemperate,-34.37,21.44,0.22,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
472,Still_Bay,WarmTemperate,-34.37,21.44,0.62,Excirolana,latipes,Ela,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
511,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.68,Parvulastra,exigua,Pex,No,NE,direct developer,2,Benthic,Low,Rocky,Grazer
513,Jacobs_Bay,CoolTemperate,-32.97,17.89,0.92,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
514,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.8,Tylos,granulatus,Tgr,No,NE,direct developer,6,Benthic,Low,Sandy,Grazer
515,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.43,Excirolana,natalensis,Ena,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
516,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.35238,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
517,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.90909,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
531,Herolds_Bay,WarmTemperate,-34.06,22.4,0.951,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
533,Herolds_Bay,WarmTemperate,-34.06,22.4,1,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
534,Herolds_Bay,WarmTemperate,-34.06,22.4,0.90909,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
561,Swartvlei,WarmTemperate,-34.03,22.78,0.96,Syngnathus,temminckii,Ste,No,LC,planktonic,30,Benthic,Low,Estuarine,Carnivorous
591,Knysna,WarmTemperate,-34.09,23.09,0.71,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
592,Knysna,WarmTemperate,-34.09,23.09,0.844,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
593,Knysna,WarmTemperate,-34.09,23.09,0.89,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
594,Knysna,WarmTemperate,-34.09,23.09,0.982,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
596,Knysna,WarmTemperate,-34.09,23.09,0.58,Excirolana,latipes,Ela,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
597,Knysna,WarmTemperate,-34.09,23.09,0.9333,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
598,Knysna,WarmTemperate,-34.09,23.09,0.78261,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
610,Mouille_Point,CoolTemperate,-33.9,18.4,0.91,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
611,Port_Alfred,WarmTemperate,-33.63,26.87,0.90043,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
631,Jeffreys_Bay,WarmTemperate,-34.06,24.93,0.84,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
632,Jeffreys_Bay,WarmTemperate,-34.06,24.93,0.2,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
651,Schoenmakerskop,WarmTemperate,-34.05,25.6,0.76,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
652,Schoenmakerskop,WarmTemperate,-34.05,25.6,0.99,Chthamalus,dentatus,Cde,No,NE,planktonic,1,Benthic,Low,Rocky,Filter Feeder
653,Schoenmakerskop,WarmTemperate,-34.05,25.6,0.81,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
661,Cape_Recife,WarmTemperate,-34.03,25.71,0.14,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
672,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.98,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
673,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.82,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
674,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.85,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
675,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.84,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
676,Port_Elizabeth,WarmTemperate,-33.99,25.68,1,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
677,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.83824,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
681,Swartkops_River,WarmTemperate,-33.87,25.63,0.98,Chthamalus,dentatus,Cde,No,NE,planktonic,1,Benthic,Low,Rocky,Filter Feeder
682,Swartkops_River,WarmTemperate,-33.87,25.63,0.88,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
711,Kommetjie,CoolTemperate,-34.14,18.32,0.88,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
712,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.98693,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
721,Port_Alfred,WarmTemperate,-33.63,26.87,0.997,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
722,Port_Alfred,WarmTemperate,-33.63,26.87,0.74,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
723,Port_Alfred,WarmTemperate,-33.63,26.87,0.97,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
724,Port_Alfred,WarmTemperate,-33.63,26.87,0.98,Talorchestia,capensis,Tca,No,NE,planktonic,2,Benthic,Low,Sandy,Filter Feeder
725,Port_Alfred,WarmTemperate,-33.63,26.87,0.53,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
726,Port_Alfred,WarmTemperate,-33.63,26.87,0.67,Nassarius,kraussianus,Nkr,No,NE,planktonic,1,Benthic,Low,Estuarine,Grazer
727,Port_Alfred,WarmTemperate,-33.63,26.87,0.935,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
729,Port_Alfred,WarmTemperate,-33.63,26.87,0.18,Excirolana,natalensis,Ena,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
761,East_London,SubTropical,-33.06,27.87,0.2,Jasus,lalandi,Jla,Yes,LC,planktonic,30,Benthic,Low,Rocky,Carnivorous
762,East_London,SubTropical,-33.06,27.87,0.9744,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
781,Gqunube,SubTropical,-32.94,28.03,0.53,Nassarius,kraussianus,Nkr,No,NE,planktonic,1,Benthic,Low,Estuarine,Grazer
782,Gqunube,SubTropical,-32.94,28.03,0.91,Hymenosoma,orbiculare,Hor,No,NE,planktonic,1.5,Benthic,Low,Estuarine,Carnivorous
810,Port_Nolloth,CoolTemperate,-29.25,16.87,0.91,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
811,Haga_Haga,SubTropical,-32.77,28.23,0.81,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
812,Haga_Haga,SubTropical,-32.77,28.23,0.77,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
813,Haga_Haga,SubTropical,-32.77,28.23,0.71,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
814,Haga_Haga,SubTropical,-32.77,28.23,0.971,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
816,Haga_Haga,SubTropical,-32.77,28.23,0.9722,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
817,Haga_Haga,SubTropical,-32.77,28.23,0.88571,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
818,Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.93074,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
892,Umganzana,SubTropical,-31.71,29.42,0.96,Nassarius,kraussianus,Nkr,No,NE,planktonic,1,Benthic,Low,Estuarine,Grazer
901,Coffee_Bay,SubTropical,-31.99,29.15,0.97,Chrysoblephus,puniceus,Cpu,Yes,LC,planktonic,65,Demersal Deep,Low,Rocky,Carnivorous
902,Coffee_Bay,SubTropical,-31.99,29.15,0.993,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
903,Coffee_Bay,SubTropical,-31.99,29.15,0.957,Palinurus,delagoae,Pde,Yes,LC,planktonic,40,Demersal Deep,Medium,Sandy,Carnivorous
910,Herolds_Bay,WarmTemperate,-34.06,22.4,0.96324,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
921,Port_St._Johns,SubTropical,-31.63,29.55,0.67,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
922,Port_St._Johns,SubTropical,-31.63,29.55,0.94,Psammogobius,knysnaensis,Pkn,No,NE,planktonic,7,Benthic,Low,Estuarine,Carnivorous
923,Port_St._Johns,SubTropical,-31.63,29.55,0.83,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
924,Port_St._Johns,SubTropical,-31.63,29.55,0.977,Palinurus,delagoae,Pde,Yes,LC,planktonic,40,Demersal Deep,Medium,Sandy,Carnivorous
926,Port_St._Johns,SubTropical,-31.63,29.55,0.92,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
951,Port_Edward,SubTropical,-31.06,30.23,0.62,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
981,Umzumbe,SubTropical,-30.63,30.54,0.81,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
1010,Lamberts_Bay,CoolTemperate,-32.09,18.31,0.56,Parvulastra,exigua,Pex,No,NE,direct developer,2,Benthic,Low,Rocky,Grazer
1012,Brandsebaai,CoolTemperate,-31.3,17.88,0.87,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
1013,Lamberts_Bay,CoolTemperate,-32.09,18.31,0.58,Excirolana,natalensis,Ena,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
1014,Lamberts_Bay,CoolTemperate,-32.09,18.31,0.73,Excirolana,latipes,Ela,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
1015,Lamberts_Bay,CoolTemperate,-32.09,18.31,0.35238,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
1016,Knysna,WarmTemperate,-34.09,23.09,0.95238,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
1031,Mhlanga,SubTropical,-29.74,31.08,0.77,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
1071,Blythedale_Beach,SubTropical,-29.37,31.35,0.11,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1072,Blythedale_Beach,SubTropical,-29.37,31.35,0.87,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
1081,Nonoti,SubTropical,-29.33,31.39,0.73,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
1091,Zinkwazi,SubTropical,-29.28,31.44,0.56,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1101,Lone_Rock,SubTropical,-28.91,31.94,0.96,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
1110,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.90909,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
1111,Richards_Bay,SubTropical,-28.81,32.09,0.966,Palinurus,delagoae,Pde,Yes,LC,planktonic,40,Demersal Deep,Medium,Sandy,Carnivorous
1112,Richards_Bay,SubTropical,-28.81,32.09,0.78,Nassarius,kraussianus,Nkr,No,NE,planktonic,1,Benthic,Low,Estuarine,Grazer
1121,Cape_St_Lucia,Tropical,-28.53,32.4,0.34,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1122,Cape_St_Lucia,Tropical,-28.53,32.4,0.73,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
1123,Cape_St_Lucia,Tropical,-28.53,32.4,0.72,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
1131,Mission_Rocks,Tropical,-28.28,32.49,0.31,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1132,Mission_Rocks,Tropical,-28.28,32.49,0.82,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
1141,Jesser_Point,Tropical,-27.51,32.68,0.46,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1142,Jesser_Point,Tropical,-27.51,32.68,0.78,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
1151,Nine_Mile_Beach,Tropical,-27.38,32.73,0.39,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1161,Mabibi,Tropical,-27.41,32.74,0.97,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
1162,Mabibi,Tropical,-27.41,32.74,0.56,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1163,Mabibi,Tropical,-27.41,32.74,0.91,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
1171,Ponta_de_Ouro,Tropical,-26.87,32.89,0.98,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
1172,Ponta_de_Ouro,Tropical,-26.87,32.89,0.6,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1173,Ponta_de_Ouro,Tropical,-26.87,32.89,0.91,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
7210,Port_Alfred,WarmTemperate,-33.63,26.87,0.9333,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer