"Site","Lat","Long","SSTmean_cont","SSTrange_cont","SSSmean_cont","SSSrange_cont","SSTmean_LGM","SSTrange_LGM","SSSmean_LGM","SSSrange_LGM","SSTmean_MH","SSTrange_MH","SSSmean_MH","SSSrange_MH"
"Cape_Recife",-34.03,25.71,19.1730447196961,5.67113263320923,35.4043481496,0.405111098000001,NA,NA,NA,NA,18.7204912918091,4.47607205963132,35.25,0.341400002241133
"Haga_Haga",-32.77,28.23,22.3116626129151,6.24407363128661,35.3739294724,0.545091686000001,NA,NA,NA,NA,20.6489717964173,4.94804813175197,35.251923677063,0.436723998725412
"Dwesa",-32.27,28.89,22.9923370834351,5.78961735992432,35.3502949348,0.6020715444,NA,NA,NA,NA,21.7492604393007,4.41929607372282,35.25,0.367400007247926
"Port_Edward",-31.06,30.23,23.5878345924378,5.83505321960449,35.3129046068,0.623923383200001,NA,NA,NA,NA,22.4866039222719,4.67581205711369,35.210571206665,0.237799996733665
"Mhlanga",-29.74,31.08,23.1610802055359,5.70665220108032,35.2183311512,1.0799186892,NA,NA,NA,NA,22.6666560577393,4.60834405174255,35.2099990844727,0.371600003242492
"Sheffield_Beach",-29.49,31.26,22.995583997345,5.85913905715943,35.1779787012,1.34250600679999,NA,NA,NA,NA,22.5525600288391,4.73408419742583,35.1961559417725,0.403844002294541
"Zinkwazi",-29.28,31.44,22.9240226745605,5.9428653717041,35.210083,1.116952,NA,NA,NA,NA,22.3936038887024,4.80121600360871,35.189998626709,0.431092006111144
"Lone_Rock",-28.91,31.94,23.2318628829956,6.1000560409546,35.2613035988,0.765154071199996,NA,NA,NA,NA,22.4509801605225,5.20420783500673,35.1832757553101,0.474523994493485
"Port_St._Johns",-31.63,29.55,23.1345734977722,5.95138761901855,35.334976186,0.599015436,20.5369995117188,4.30799994468691,35.2099990844727,0.239999994635582,21.8614797477722,4.13045995044711,35.2299995422363,0.270000010728836
"Lamberts_Bay",-32.09,18.31,14.8651833244324,4.92991922454834,35.0579231104,0.557283912800002,NA,NA,NA,NA,14.5924956733704,4.57377592964171,34.9256233703613,0.394375994563102
"Mouille_Point",-33.9,18.4,15.8927055549622,6.54974195480347,34.7550345,2.90268222,NA,NA,NA,NA,15.0480000305176,4.07030005455017,35.2841988754273,0.217899997681379
"Wooleys_Pool",-34.13,18.45,16.6724952125549,6.70046451187135,35.315000176,1.36558666600001,NA,NA,NA,NA,16.1658395290377,4.52845995712283,35.3116011276245,0.20993999350071
"Hondeklip_Bay",-30.32,17.27,14.6814304008484,5.42212721672059,35.084941356,0.496907507999999,NA,NA,NA,NA,13.4631878852844,5.30821595325471,34.9634834915161,0.417399989366533
"Jacobs_Bay",-32.97,17.89,15.4329845668793,4.70621183204652,34.0814489476,3.82464896680003,NA,NA,NA,NA,14.6435717258454,5.1034679353715,35.1314008331299,0.25
"Port_Nolloth",-29.25,16.87,14.4406804847717,5.40804735183716,34.97842919,1.09144129,NA,NA,NA,NA,14.0981999206543,6.095,34.8156005477905,0.364700009822846
"Kommetjie",-34.14,18.32,16.753950630188,6.59208466072083,35.2070297896,1.72122563319994,NA,NA,NA,NA,15.2709998256683,4.17633199310304,35.3284010360718,0.209387994027138
"Rooiels",-34.3,18.81,16.8420754585266,6.68849772453308,35.431247772,0.772182781999988,NA,NA,NA,NA,16.2060806694031,4.61158017063142,35.2977996063232,0.189779997825622
"Bettys_Bay",-34.36,18.92,16.8544557571411,6.64212423324585,35.45581398,0.651011899999988,NA,NA,NA,NA,16.382924420929,4.40142398567194,35.2900009155273,0.180828006362915
"Gansbaai",-34.58,19.34,17.1625573417664,6.71408381156921,35.4965196208,0.469253039599998,NA,NA,NA,NA,16.3632882019043,4.64833990306858,35.2700004577637,0.166868000108004
"Cape_Agulhas",-34.83,20.01,17.8587174224854,7.70142462196351,35.5198536164,0.3949262524,NA,NA,NA,NA,17.4000841842652,6.34526410694135,35.2799987792969,0.200000002980232
"Knysna",-34.09,23.09,18.2799464904785,6.87773188591004,35.4541874052,0.405180997199999,NA,NA,NA,NA,17.8172563186646,5.63681999568934,35.2924365066528,0.235799998641015
"Jeffreys_Bay",-34.06,24.93,18.8486533943176,5.67080780715941,35.404679824,0.356200051600001,NA,NA,NA,NA,18.5091122085571,4.8059160694122,35.2448528640747,0.291748005330564
"Port_Elizabeth",-33.99,25.68,19.0945058860779,5.6899527885437,35.4046478556,0.399710322000001,NA,NA,NA,NA,18.779839969635,4.80276400985705,35.2478923538208,0.346199997663497
"Port_Alfred",-33.63,26.87,20.253124005127,6.56437765502929,35.3886807508,0.4704378244,NA,NA,NA,NA,19.2038406356812,4.9692960149765,35.2700004577637,0.409399996995926
"Haga_Haga",-32.77,28.23,22.3116626129151,6.24407363128661,35.3739294724,0.545091686000001,NA,NA,NA,NA,20.6489717964173,4.94804813175197,35.251923677063,0.436723998725412
"Port_St._Johns",-31.63,29.55,23.1345734977722,5.95138761901855,35.334976186,0.599015436,20.5369995117188,4.30799994468691,35.2099990844727,0.239999994635582,21.8614797477722,4.13045995044711,35.2299995422363,0.270000010728836
"Breede_(Cape_Infanta)",-34.46,20.87,17.9337957122803,7.90075158729553,35.4808900456,0.4232365428,NA,NA,NA,NA,17.9276446617127,6.76557616271973,35.2901888839722,0.190187997716666
"Jongensfontein",-34.43,21.33,17.9977584579468,7.69141722755432,35.4691606312,0.43161302,NA,NA,NA,NA,17.8435605323792,6.54600804977417,35.2999992370605,0.204599998593331
"Wooleys_Pool",-34.13,18.45,16.6724952125549,6.70046451187135,35.315000176,1.36558666600001,NA,NA,NA,NA,16.1658395290377,4.52845995712283,35.3116011276245,0.20993999350071
"Rooiels",-34.3,18.81,16.8420754585266,6.68849772453308,35.431247772,0.772182781999988,NA,NA,NA,NA,16.2060806694031,4.61158017063142,35.2977996063232,0.189779997825622
"Gansbaai",-34.58,19.34,17.1625573417664,6.71408381156921,35.4965196208,0.469253039599998,NA,NA,NA,NA,16.3632882019043,4.64833990306858,35.2700004577637,0.166868000108004
"Cape_Agulhas",-34.83,20.01,17.8587174224854,7.70142462196351,35.5198536164,0.3949262524,NA,NA,NA,NA,17.4000841842652,6.34526410694135,35.2799987792969,0.200000002980232
"Herolds_Bay",-34.06,22.4,18.1744619102478,7.32096569252015,35.475496232,0.472141165999999,NA,NA,NA,NA,18.2109001464844,6.27752008819578,35.2999992370605,0.230000004172325
"Knysna",-34.09,23.09,18.2799464904785,6.87773188591004,35.4541874052,0.405180997199999,NA,NA,NA,NA,17.8172563186646,5.63681999568934,35.2924365066528,0.235799998641015
"Port_Alfred",-33.63,26.87,20.253124005127,6.56437765502929,35.3886807508,0.4704378244,NA,NA,NA,NA,19.2038406356812,4.9692960149765,35.2700004577637,0.409399996995926
"Haga_Haga",-32.77,28.23,22.3116626129151,6.24407363128661,35.3739294724,0.545091686000001,NA,NA,NA,NA,20.6489717964173,4.94804813175197,35.251923677063,0.436723998725412
"Swartkops_River",-33.87,25.63,18.9185845848084,5.82488183517456,35.4041480504,0.3904103824,NA,NA,NA,NA,19.0258888145447,5.64940806903839,35.2400016784668,0.350035994112492
"Salt_Rock",-29.5,31.24,22.9996775627136,5.8520631980896,35.17805931,1.34250862999999,NA,NA,NA,NA,22.5599998283386,4.73910020351409,35.1981003570557,0.401900004148484
"Schoenmakerskop",-34.05,25.6,19.1321359062195,5.64833429336548,35.40563883,0.397117810000001,NA,NA,NA,NA,18.6301006889343,4.30240016460418,35.247300453186,0.336300007104874
"Mhlanga",-29.74,31.08,23.1610802055359,5.70665220108032,35.2183311512,1.0799186892,NA,NA,NA,NA,22.6666560577393,4.60834405174255,35.2099990844727,0.371600003242492
"Blythedale_Beach",-29.37,31.35,22.9936073303223,5.89790134429931,35.1916168,1.2447219,NA,NA,NA,NA,22.1804197425843,4.96067979526516,35.189998626709,0.427000001072884
"Cape_St_Lucia",-28.53,32.4,24.3173078460693,6.23959839630127,35.234735894,0.812308849999998,NA,NA,NA,NA,23.7690201911927,4.94410005187982,35.2000007629395,0.511819988727568
"Mission_Rocks",-28.28,32.49,24.5195360305786,6.21161491546631,35.2242060376,0.8630952752,NA,NA,NA,NA,23.9431723770143,4.85609191150663,35.189998626709,0.554332007789614
"Jesser_Point",-27.51,32.68,24.6662185295105,6.16514645690918,35.201380778,0.982833151600002,22.6000003814697,4.96999979019165,35.1699981689453,0.540000021457672,24.3147523773193,5.03787206420898,35.1557925537109,0.600000023841858
"Mabibi",-27.41,32.74,24.6863242233276,6.17401866607666,35.1979814228,0.990724493599999,22.7834798706055,4.8124319404602,35.1546967376709,0.540000021457672,24.2648559577943,5.14102805614457,35.1500015258789,0.600000023841858
"Ponta_de_Ouro",-26.87,32.89,24.6579255592346,6.18271228637695,35.1671498036,1.1576471228,NA,NA,NA,NA,24.3263562683106,5.00085216350553,35.1199989318848,0.55590800628662
"Blythedale_Beach",-29.37,31.35,22.9936073303223,5.89790134429931,35.1916168,1.2447219,NA,NA,NA,NA,22.1804197425843,4.96067979526516,35.189998626709,0.427000001072884
"Cape_St_Lucia",-28.53,32.4,24.3173078460693,6.23959839630127,35.234735894,0.812308849999998,NA,NA,NA,NA,23.7690201911927,4.94410005187982,35.2000007629395,0.511819988727568
"Mission_Rocks",-28.28,32.49,24.5195360305786,6.21161491546631,35.2242060376,0.8630952752,NA,NA,NA,NA,23.9431723770143,4.85609191150663,35.189998626709,0.554332007789614
"Jesser_Point",-27.51,32.68,24.6662185295105,6.16514645690918,35.201380778,0.982833151600002,22.6000003814697,4.96999979019165,35.1699981689453,0.540000021457672,24.3147523773193,5.03787206420898,35.1557925537109,0.600000023841858
"Nine_Mile_Beach",-27.38,32.73,24.6863615768433,6.17833588104248,35.1956316308,0.9936417896,22.7792799346924,4.81915193405152,35.1538568786621,0.540000021457672,24.1578155220032,5.36710809230792,35.1500015258789,0.600000023841858
"Lone_Rock",-28.91,31.94,23.2318628829956,6.1000560409546,35.2613035988,0.765154071199996,NA,NA,NA,NA,22.4509801605225,5.20420783500673,35.1832757553101,0.474523994493485
"Mabibi",-27.41,32.74,24.6863242233276,6.17401866607666,35.1979814228,0.990724493599999,22.7834798706055,4.8124319404602,35.1546967376709,0.540000021457672,24.2648559577943,5.14102805614457,35.1500015258789,0.600000023841858
"Ponta_de_Ouro",-26.87,32.89,24.6579255592346,6.18271228637695,35.1671498036,1.1576471228,NA,NA,NA,NA,24.3263562683106,5.00085216350553,35.1199989318848,0.55590800628662
"Jacobs_Bay",-32.97,17.89,15.4329845668793,4.70621183204652,34.0814489476,3.82464896680003,NA,NA,NA,NA,14.6435717258454,5.1034679353715,35.1314008331299,0.25
"Mouille_Point",-33.9,18.4,15.8927055549622,6.54974195480347,34.7550345,2.90268222,NA,NA,NA,NA,15.0480000305176,4.07030005455017,35.2841988754273,0.217899997681379
"Wooleys_Pool",-34.13,18.45,16.6724952125549,6.70046451187135,35.315000176,1.36558666600001,NA,NA,NA,NA,16.1658395290377,4.52845995712283,35.3116011276245,0.20993999350071
"Rooiels",-34.3,18.81,16.8420754585266,6.68849772453308,35.431247772,0.772182781999988,NA,NA,NA,NA,16.2060806694031,4.61158017063142,35.2977996063232,0.189779997825622
"Bettys_Bay",-34.36,18.92,16.8544557571411,6.64212423324585,35.45581398,0.651011899999988,NA,NA,NA,NA,16.382924420929,4.40142398567194,35.2900009155273,0.180828006362915
"Gansbaai",-34.58,19.34,17.1625573417664,6.71408381156921,35.4965196208,0.469253039599998,NA,NA,NA,NA,16.3632882019043,4.64833990306858,35.2700004577637,0.166868000108004
"Cape_Agulhas",-34.83,20.01,17.8587174224854,7.70142462196351,35.5198536164,0.3949262524,NA,NA,NA,NA,17.4000841842652,6.34526410694135,35.2799987792969,0.200000002980232
"Herolds_Bay",-34.06,22.4,18.1744619102478,7.32096569252015,35.475496232,0.472141165999999,NA,NA,NA,NA,18.2109001464844,6.27752008819578,35.2999992370605,0.230000004172325
"Knysna",-34.09,23.09,18.2799464904785,6.87773188591004,35.4541874052,0.405180997199999,NA,NA,NA,NA,17.8172563186646,5.63681999568934,35.2924365066528,0.235799998641015
"Port_Elizabeth",-33.99,25.68,19.0945058860779,5.6899527885437,35.4046478556,0.399710322000001,NA,NA,NA,NA,18.779839969635,4.80276400985705,35.2478923538208,0.346199997663497
"East_London",-33.06,27.87,21.7986235321045,6.42241202926637,35.3795384444,0.526966820000001,NA,NA,NA,NA,20.3884594818116,5.19692401084901,35.2599983215332,0.447931990051268
"Haga_Haga",-32.77,28.23,22.3116626129151,6.24407363128661,35.3739294724,0.545091686000001,NA,NA,NA,NA,20.6489717964173,4.94804813175197,35.251923677063,0.436723998725412
"Port_Alfred",-33.63,26.87,20.253124005127,6.56437765502929,35.3886807508,0.4704378244,NA,NA,NA,NA,19.2038406356812,4.9692960149765,35.2700004577637,0.409399996995926
"Port_Nolloth",-29.25,16.87,14.4406804847717,5.40804735183716,34.97842919,1.09144129,NA,NA,NA,NA,14.0981999206543,6.095,34.8156005477905,0.364700009822846
"Strandfontein",-31.75,18.23,14.8944029808044,5.20810937881469,35.0033455,0.583611500000001,NA,NA,NA,NA,14.539999961853,4.4650001525879,34.8850002288818,0.424999997019767
"Port_St._Johns",-31.63,29.55,23.1345734977722,5.95138761901855,35.334976186,0.599015436,20.5369995117188,4.30799994468691,35.2099990844727,0.239999994635582,21.8614797477722,4.13045995044711,35.2299995422363,0.270000010728836
"Ramsgate",-30.87,30.37,23.4639658691406,5.7814433013916,35.2994694336,0.649643244799999,NA,NA,NA,NA,22.6451990844727,4.84172815093994,35.2099990844726,0.25
"Still_Bay",-34.37,21.44,18.0121215438843,7.6003200149536,35.46770836,0.43199462,NA,NA,NA,NA,17.8246002197266,6.53839982986446,35.2999992370605,0.209999993443489
"Jeffreys_Bay",-34.06,24.93,18.8486533943176,5.67080780715941,35.404679824,0.356200051600001,NA,NA,NA,NA,18.5091122085571,4.8059160694122,35.2448528640747,0.291748005330564
"Cape_Recife",-34.03,25.71,19.1730447196961,5.67113263320923,35.4043481496,0.405111098000001,NA,NA,NA,NA,18.7204912918091,4.47607205963132,35.25,0.341400002241133
"Port_Alfred",-33.63,26.87,20.253124005127,6.56437765502929,35.3886807508,0.4704378244,NA,NA,NA,NA,19.2038406356812,4.9692960149765,35.2700004577637,0.409399996995926
"Kromme",-34.15,24.84,18.8619072685242,5.66081945419312,35.409691006,0.357888766,NA,NA,NA,NA,18.4619403991699,4.68456006240846,35.2541992950439,0.280000001192093
"Cefani",-32.81,28.14,22.0899824249267,6.37365744552614,35.3738511104,0.5456421156,NA,NA,NA,NA,20.3571316688538,5.0641761247635,35.2521996307373,0.439603997993469
"Port_Alfred",-33.63,26.87,20.253124005127,6.56437765502929,35.3886807508,0.4704378244,NA,NA,NA,NA,19.2038406356812,4.9692960149765,35.2700004577637,0.409399996995926
"Gqunube",-32.94,28.03,22.0200148765564,6.37865088729858,35.3803748752,0.520995874400001,NA,NA,NA,NA,20.5193283248902,4.66475190963742,35.2599983215332,0.439999997615814
"Umganzana",-31.71,29.42,23.048522039032,5.91014905700684,35.3395942368,0.5997105796,NA,NA,NA,NA,21.8131042556763,4.10163590307236,35.2301075653076,0.284799996888637
"Richards_Bay",-28.81,32.09,23.6688140464783,6.18302596359253,35.25752393,0.7373760084,NA,NA,NA,NA,22.491527811432,4.84189995231625,35.1867231765747,0.484523998439312
"Elands_Bay",-32.32,18.33,14.8591818199158,4.79774250793457,35.0722491192,0.596028460800001,NA,NA,NA,NA,14.4142600189209,4.52907210102081,34.9590719406128,0.372764002132416
"Dassen_Island",-33.42,18.09,15.5783712627411,5.3523116344452,33.6132092492,5.35488570719998,NA,NA,NA,NA,15.156596062088,3.94787597656247,35.2049997711182,0.24773199878335
"Hout_Bay",-34.05,18.35,16.6739995956421,6.56215213775635,35.02048726,2.35685381999998,NA,NA,NA,NA,14.9659000110626,4.37209991455081,35.3140008163452,0.209999993443489
"Olifantsbos",-34.26,18.38,16.9939033470154,6.60545717277527,35.3527893976,1.24130408879999,NA,NA,NA,NA,15.5556960639954,4.20145209121706,35.3356008041382,0.200228002762794
"Cape_Hangklip",-34.39,18.83,16.8759667472839,6.65817277984619,35.4501603024,0.684763044799998,NA,NA,NA,NA,16.3724121803284,4.2941800321579,35.2962278701782,0.186228001213073
"Port_Nolloth",-29.25,16.87,14.4406804847717,5.40804735183716,34.97842919,1.09144129,NA,NA,NA,NA,14.0981999206543,6.095,34.8156005477905,0.364700009822846
"East_London",-33.06,27.87,21.7986235321045,6.42241202926637,35.3795384444,0.526966820000001,NA,NA,NA,NA,20.3884594818116,5.19692401084901,35.2599983215332,0.447931990051268
"False_Bay",-34.24,18.66,16.7467242179871,6.74048820724487,35.3953352268,0.973241811599969,NA,NA,NA,NA,16.1834238868713,3.95163995552062,35.3058004760742,0.19840400212407
"De_Hoop",-34.46,20.56,17.8971753288269,7.8997064201355,35.4984724836,0.3970714328,NA,NA,NA,NA,17.6106758377075,6.43837213821408,35.2900009155273,0.199956002956629
"Knysna",-34.09,23.09,18.2799464904785,6.87773188591004,35.4541874052,0.405180997199999,NA,NA,NA,NA,17.8172563186646,5.63681999568934,35.2924365066528,0.235799998641015
"East_London",-33.06,27.87,21.7986235321045,6.42241202926637,35.3795384444,0.526966820000001,NA,NA,NA,NA,20.3884594818116,5.19692401084901,35.2599983215332,0.447931990051268
"Langebaan",-33.07,18.04,15.4576575164795,4.90573639984132,33.454497702,5.36916157360009,NA,NA,NA,NA,15.1454402507782,4.52530412540419,35.1369332015991,0.25
"Port_Elizabeth",-33.99,25.68,19.0945058860779,5.6899527885437,35.4046478556,0.399710322000001,NA,NA,NA,NA,18.779839969635,4.80276400985705,35.2478923538208,0.346199997663497
"Port_Alfred",-33.63,26.87,20.253124005127,6.56437765502929,35.3886807508,0.4704378244,NA,NA,NA,NA,19.2038406356812,4.9692960149765,35.2700004577637,0.409399996995926
"Coffee_Bay",-31.99,29.15,23.0635941848755,5.83426043701172,35.344253232,0.600980652,NA,NA,NA,NA,21.8710598640442,3.97248011064529,35.2438010406494,0.337000006437301
"Blythedale_Beach",-29.37,31.35,22.9936073303223,5.89790134429931,35.1916168,1.2447219,NA,NA,NA,NA,22.1804197425843,4.96067979526516,35.189998626709,0.427000001072884
"Zinkwazi",-29.28,31.44,22.9240226745605,5.9428653717041,35.210083,1.116952,NA,NA,NA,NA,22.3936038887024,4.80121600360871,35.189998626709,0.431092006111144
